Unnamed: 0_level_0_Rk,Unnamed: 1_level_0_Player,Unnamed: 2_level_0_Nation,Unnamed: 3_level_0_Pos,Unnamed: 4_level_0_Squad,Unnamed: 5_level_0_Age,Unnamed: 6_level_0_Born,Unnamed: 7_level_0_90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Unnamed: 24_level_0_Matches
110,Andrew Brody,us USA,DF,Sporting KC,30-182,1995,5.5,10,1.83,9,0,1,0,0,0,1,0.18,1,0,0,0,0,0,Matches
111,Brandt Bronico,us USA,MF,Charlotte,30-134,1995,25.8,43,1.67,34,0,2,3,2,2,9,0.35,4,0,2,1,2,0,Matches
112,Lachlan Brook,au AUS,FW,Real Salt Lake,24-266,2001,1.1,4,3.60,2,0,0,1,0,1,0,0.00,0,0,0,0,0,0,Matches
113,Javain Brown,jm JAM,DF,Real Salt Lake,26-237,1999,2.2,2,0.93,0,1,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
114,Tristan Brown,us USA,"DF,FW",Columbus Crew,18-015,2007,0.5,2,4.39,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
115,Gastón Brugman,uy URU,MF,Nashville SC,33-055,1992,14.2,56,3.94,46,1,2,3,1,3,4,0.28,4,0,0,0,0,0,Matches
116,Snyder Brunell,us USA,"MF,FW",Seattle Sounders,18-223,2007,3.3,12,3.69,8,0,1,2,1,0,0,0.00,0,0,0,0,0,0,Matches
117,Ola Brynhildsen,no NOR,"FW,MF",Toronto FC,26-188,1999,14.8,23,1.55,10,0,1,3,7,2,2,0.13,1,0,0,1,0,0,Matches
118,Pavel Bucha,cz CZE,MF,FC Cincinnati,27-235,1998,32.0,97,3.03,86,2,2,2,3,2,9,0.28,8,0,1,0,0,0,Matches
119,Noel Buck,eng ENG,"MF,DF",NE Revolution,20-210,2005,0.3,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,Noel Buck,eng ENG,"MF,DF",SJ Earthquakes,20-210,2005,1.7,7,4.20,5,0,0,0,0,2,0,0.00,0,0,0,0,0,0,Matches
121,Dawid Bugaj,pl POL,DF,CF Montréal,21-115,2004,19.2,24,1.25,20,1,0,0,2,1,3,0.16,2,0,0,0,1,0,Matches
122,Osman Bukari,gh GHA,"FW,MF",Austin,26-323,1998,25.8,92,3.57,68,1,11,7,4,1,7,0.27,6,0,1,0,0,0,Matches
123,Teal Bunbury,us USA,"FW,MF",Nashville SC,35-247,1990,2.3,2,0.86,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
124,Roman Bürki,ch SUI,GK,St. Louis,34-352,1990,25.0,4,0.16,2,2,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches
125,Evan Bush,us USA,GK,Columbus Crew,39-240,1986,6.0,1,0.17,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
126,Sergio Busquets,es ESP,MF,Inter Miami,37-108,1988,31.9,90,2.83,76,4,0,3,4,3,15,0.47,12,2,0,1,0,0,Matches
127,Brandon Bye,us USA,DF,NE Revolution,29-337,1995,12.3,22,1.79,20,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
128,Nathan Byrne,eng ENG,DF,Charlotte,33-149,1992,17.0,16,0.94,16,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
129,Kevin Cabral,fr FRA,"FW,MF",Colorado Rapids,26-114,1999,8.5,10,1.17,6,0,0,1,1,2,0,0.00,0,0,0,0,0,0,Matches
130,Rafael Cabral,br BRA,GK,Real Salt Lake,35-165,1990,34.0,10,0.29,8,2,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,Kenji Cabrera,pe PER,"MF,FW",Vancouver W'caps,22-278,2003,2.0,13,6.50,11,0,1,1,0,0,1,0.50,0,0,1,0,0,0,Matches
132,Noel Caliskan,de GER,"DF,MF",Real Salt Lake,25-064,2000,22.1,49,2.22,40,3,1,4,0,1,3,0.14,2,0,0,1,0,0,Matches
133,Drake Callender,us USA,GK,Inter Miami,28-025,1997,2.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
134,Brandon Cambridge,us USA,FW,Charlotte,23-060,2002,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
135,Leonardo Campana,ec ECU,FW,NE Revolution,25-100,2000,18.3,40,2.19,28,1,2,8,1,0,3,0.16,2,0,0,1,0,0,Matches
136,George Campbell,us USA,DF,CF Montréal,24-132,2001,14.9,27,1.81,21,0,0,4,1,1,1,0.07,0,0,0,1,0,0,Matches
137,Reggie Cannon,us USA,DF,Colorado Rapids,27-143,1998,27.1,35,1.29,32,0,2,0,1,0,2,0.07,2,0,0,0,0,0,Matches
138,Christian Cappis,us USA,MF,FC Dallas,26-080,1999,9.1,15,1.65,14,1,0,0,0,0,1,0.11,1,0,0,0,0,0,Matches
139,Gustavo Caraballo,ve VEN,"MF,FW",Orlando City,17-064,2008,0.2,3,15.88,2,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
140,Felipe Carballo,uy URU,MF,NY Red Bulls,29-028,1996,10.5,26,2.49,19,4,1,0,2,0,5,0.48,5,0,0,0,0,0,Matches
141,Felipe Carballo,uy URU,MF,Portland Timbers,29-028,1996,1.4,5,3.63,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
142,Alan Carleton,us USA,"MF,FW",Nashville SC,20-226,2005,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
143,Antonio Carlos,br BRA,DF,Houston Dynamo,32-239,1993,6.7,5,0.75,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
